filing_uuid,general_issue_code
c9e68fde-d567-4d92-8604-92e27245e55c,BUD
830226e8-27ab-4696-8593-dffa418956d3,MED
67590703-c194-4c67-8528-3c2503f1bedb,BAN
17805bee-4618-4f5d-8c0c-0388dc36c6f4,ENG
2a371c4b-377c-488c-afe9-e46a1c64eeee,GAM
2d76ce28-8bda-4387-96c5-a5b3d9a23142,ALC
9a841195-9541-4a3b-83d9-0b0a5325f9bf,MMM
6b080fa2-35fe-45c9-a809-7aeca49df8cd,BAN
813c511f-309f-4c77-9517-47ec94ba13b1,TRD
69db4d4a-10c2-45cb-9b5e-e6245116454b,TAX
f32d3bb9-c1db-4353-a0b9-bd22d3928e0f,BNK
2d899d9c-6a04-41dd-b55a-48c9e5ccf286,ENG
c080accd-dc7f-4a97-9aaa-13f69f0de37c,CAW
f856c95b-5a29-4c82-adea-1bb8b3b6536a,SCI
1a4b165e-b565-4c1c-9fb8-052e78b2a822,ENV
98b52e9c-9359-43f9-bdf5-5743f5779cf5,TEC
b7bfc5be-5caf-4230-b23c-c31ed2f8ea15,TOU
406ab8de-c747-4dd2-8868-c490e0a421b6,TEC
90b59c35-1d76-4e34-bb8e-b9bd287bc20f,MMM
51b88c81-e6ab-4562-8417-cc2d21fb1139,RET
7d3d2286-8c99-4fd2-9baa-a74400d3742e,RET
43cfca2c-f50b-4fe5-bdb9-8316ef9b9e66,BUD
2eda916a-5da8-45ed-82e5-ec076a43066f,TAX
8eeff8e1-fec5-47f3-95b2-ed695c5d4400,AER
37a733b2-23e7-4602-a764-0420e609163b,AGR
e4c104d5-789b-4760-8e16-77461a1cd851,BUD
21aacae4-2542-4203-909a-c0990033c684,AGR
af995458-9e05-47ee-b515-fb0d846e0693,LBR
08234206-126a-46c5-bbd1-480db32df7dc,AVI
44f8efb6-ec15-41e0-9e39-26f2f15f58e1,TAX
9fb00b71-f555-4340-9d5d-273b72a3eb1d,BUD
0080068d-4a01-443c-882e-eb62de8cb2c9,TAX
4a65edfa-a8d0-4c61-89ea-1711fa31f154,INS
07c4cb4f-72c6-46c5-95b4-4ee95d83eaa8,HCR
bd1f00b6-ff05-41c3-944c-58bac65d4068,BUD
f5074a13-413e-477c-b854-b04399d76f84,GOV
7e5c954d-603d-40ba-aa29-608126208b98,RES
ea356472-4b0f-4569-9793-d9c48c9f2102,DEF
b168c755-46ce-45ba-8166-0a17d4c6eaae,CAW
2eb690b7-4676-44c7-a6cc-02b13cc8ed24,TAX
c44ef8b7-3dc6-4891-957a-9ea082b54456,NAT
e9c0a148-b02b-4cfb-bbdf-4a4c6a929ac9,HOU
156daee3-c559-43c0-aea2-0ace3231ac66,DEF
5bae36af-0daa-4900-b6b2-466f7326f6ab,LBR
b58b9032-4fa0-490c-ae98-19188b805a9c,TAX
34cc0be2-4a3f-46be-9c0a-5c9bfc52f3af,BNK
cb6984ab-0963-44ec-9e18-f1e84d19e9b2,LBR
472f8bcd-b977-4478-82dc-9bf41d4c1b63,BUD
e9f257e9-f9e3-4108-b0b6-3a8c7e771f8f,BNK
881a5b15-0559-44e9-9350-0381d1a47544,TAX
5baed42f-889f-416b-bb48-43942a9a7e6f,POS
95a6d649-3dde-49bc-87e4-996de5ed4567,CPT
f2e38460-1171-4b48-b483-cdc3e5be6bd4,MED
e2e0b2cd-46cf-4f40-96d5-b263cdfaacc7,BUD
99243bad-31da-4a15-8a2b-1788d896ec54,TRD
4753d7a7-e781-40c1-8e0a-b8e00911ba38,LBR
1c01730f-da3b-40f6-a2b5-3c0f2cfd05f6,MMM
d92a489b-8726-466f-9fb8-f8e518be4e4b,NAT
7219993b-e9ec-40d9-a67d-85de972ac72e,BUD
2b42dcf5-5e55-4d31-a4f0-0914fdf7654d,HOU
28470152-1535-462b-8735-ca65644e32c2,LBR
693d78f5-5969-4afd-9d7f-efeac69079c1,MED
8b15c75f-cd99-419b-8a4d-6d401f0ba899,LAW
93cc56dd-1068-4554-9229-14bc1486abb6,WEL
